category,subCategory,donor,correct title
,,Â US International NarcoticsÂ andÂ LawÂ Enforcement Affairs,
Other,Private Company,Adam Smith International,
Vertical Funds,,Adaptation Fund  (AF),
,,AFD-French development agency,
Other,Financial Institutions,AFRICAN DEVELOPMENT BANK,
,,"African Diplomatic Group, Cuba",
Government,,AG FRANCAISE DE DVLPP,
European Union,,AGENCIA DE COOPERACION ADELANTE,
Government,Spain,AGENCIA ESPANOLA DE COOPERACION INTERNACIONAL,
Government,Colombia,AGENCIA SUIZA PARA EL DESARROLLO Y LA COOPERACION (COSUDE),
Other,Financial Institutions,Ahli united Bank,
Other,Private Company,ALIA Investments (PVT) Ltd - Maldives,
Other,Private Company,Allied Insurance Company of the Maldives Pvt. Ltd.,
,,Altice Dominicana,
Other,NGO,AMERICAN RED CROSS,
Government,Spain,Andalusian Agency for International Cooperation for Development,
Other,NGO,ANESVAD,
,,ARG-FUNDACIÓN EXPORT.AR,
,,ARG-GOBIERNO,
Government,Argentina,"ARG-MINISTERIO DE TRABAJO, EMP",
Other,Financial Institutions,ASIAN DEVELOPMENT BANK,
Other,Financial Institutions,Asociaci√É¬≥n Cibao de Ahorros y Pr√É¬©stamos,
Other,NGO,Asociaci√É¬≥n Cubana de T√É¬©cnicos Agricolas y Forestales,
Other,Private Company,Asociaci√É¬≥n de Administradoras de Fondos de Pensiones de la Rep√É¬∫blica Dominicana,
,,Asociación Cibao de Ahorros y Préstamos,
Other,NGO,ASOCIACION CUBA COOPERACION,
,,Asociación Cubana de Técnicos Agricolas y Forestales,
,,Asociación de Administradoras de Fondos de Pensiones de la República Dominicana,
Other,NGO,Asociacion Lodigiana Cooperacion Internacional,
Other,,ASSOC. COMASCA,
Other,IGO,ASSOCIATION OF CARIBBEAN STATE,
Government,Australia,AUSTRALIAN AGENCY FOR INTERNATIOANL DEVELOPMENT,
Government,Australia,Australian Agency for International Development (AusAID),
Government,Australia,Australian DFAT,
Government,Australia,Australian Federal Police,
Government,Australia,"AUSTRALIAN GOVERNMENT DEPARTMENT OF INDUSTRY, INNOVATIVE, CLIMATE CHANGE, SCIENCE RESEARCH AND TERTIARY EDUCATION",
Government,Spain,AYUNT AMIENTO EL PRAT DE LLOBREGAT,
Government,Spain,AYUNTAMIENTO DE BILBAO,
Government,Spain,AYUNTAMIENTO DE ZARAGOZA,
Government,Bahrain,Bahrain Institute for Politica,
,,Banco de Ahorro y Crédito Adopem,
,,Banco de Reservas de la República Dominicana,
,,"Banco Popular Dominicano, SA",
Government,Barbados,BAR-GOVERNMENT OF BARBADOS,
Government,Belize,BAR-GOVERNMENT OF BELIZE,
Government,Dominica,BAR-GOVERNMENT OF DOMINICA,
Government,Saint Lucia,BAR-GOVERNMENT OF ST. LUCIA,
Government,St. Vincent and the Grenadines,BAR-GOVT OF ST VINCENT & THE GRENADIN,
Government,British Virgin Islands,BAR-GOVT OF THE BRITISH VIRGIN,
Government,Spain,BEAZ,
Other,NGO,BENFICA FOUNDATION,
